,S5,S6,T1,T2,T3,T4,T5
2023-01-01 00:00,-311.265,-648.524,0.0,-118.129,0.0,-96.004,-8.896999999999998
2023-01-01 01:00,-303.023,-675.899,0.0,-112.31200000000001,0.0,-76.042,-1.1439999999999984
2023-01-01 02:00,-294.58500000000004,-677.0899999999999,0.0,-102.894,0.0,-86.851,-2.193999999999999
2023-01-01 03:00,-312.297,-701.7719999999999,-21.009,-106.584,0.0,-129.758,-6.834999999999998
2023-01-01 04:00,-330.375,-742.452,-21.922,-106.463,0.0,-114.18,0.0
2023-01-01 05:00,-346.506,-737.342,-20.288999999999998,-103.68,0.0,-113.469,0.0
2023-01-01 06:00,-361.083,-696.992,-32.701,-116.58600000000001,0.0,-120.325,0.0
2023-01-01 07:00,-382.918,-711.441,-40.172,-130.83800000000002,0.0,-95.18,0.0
2023-01-01 08:00,-395.755,-724.183,-50.149,-144.95499999999998,0.0,-108.225,-1.2749999999999986
2023-01-01 09:00,-419.203,-773.913,-63.62200000000001,-145.262,0.0,-123.761,-0.4739999999999993
2023-01-01 10:00,-459.36199999999997,-897.494,-77.50999999999999,-154.93200000000002,0.0,-138.155,0.0
2023-01-01 11:00,-489.073,-1018.797,-72.439,-179.58999999999997,0.0,-160.14,-0.17299999999999915
2023-01-01 12:00,-508.08299999999997,-1098.615,-75.80000000000001,-201.75,0.0,-173.507,-6.614000000000001
2023-01-01 13:00,-519.44,-1128.3200000000002,-69.399,-214.629,0.0,-177.812,-12.959
2023-01-01 14:00,-524.0699999999999,-1137.7399999999998,-64.743,-219.793,0.0,-166.828,-23.488
2023-01-01 15:00,-552.5509999999999,-1175.5639999999999,-63.758,-221.918,0.0,-177.75900000000001,-24.222
2023-01-01 16:00,-586.1500000000001,-1283.077,-66.849,-238.69400000000002,0.0,-181.815,-21.174999999999997
2023-01-01 17:00,-568.921,-1282.5529999999999,-54.751000000000005,-209.335,0.0,-178.242,-17.631999999999998
2023-01-01 18:00,-537.097,-1181.8719999999998,-26.137000000000004,-175.809,0.0,-152.072,-5.338
2023-01-01 19:00,-504.736,-1078.084,-9.860999999999997,-135.1,0.0,-141.628,0.0
2023-01-01 20:00,-493.38300000000004,-1003.935,-29.691,-130.38400000000001,0.0,-165.306,0.0
2023-01-01 21:00,-483.403,-961.802,-10.332999999999995,-117.262,0.0,-143.075,0.0
2023-01-01 22:00,-451.288,-875.114,0.0,-104.719,0.0,-122.424,0.0
2023-01-01 23:00,-420.81899999999996,-798.764,0.0,-71.22,0.0,-128.114,0.0
2023-01-02 00:00,-401.709,-731.777,0.0,-50.04,0.0,-153.04500000000002,0.0
2023-01-02 01:00,-387.06600000000003,-683.399,0.0,-32.89,0.0,-128.40200000000002,0.0
2023-01-02 02:00,-355.18899999999996,-580.158,0.0,-11.172999999999996,0.0,-128.267,0.0
2023-01-02 03:00,-347.18100000000004,-540.963,0.0,-4.271000000000002,-6.2749999999999995,-131.897,0.0
2023-01-02 04:00,-330.524,-529.8800000000001,0.0,-15.786999999999999,-7.649000000000001,-140.231,0.0
2023-01-02 05:00,-344.75300000000004,-586.547,0.0,-27.248000000000005,-7.721000000000001,-138.149,0.0
2023-01-02 06:00,-371.027,-694.836,0.0,-33.727,-8.478,-150.189,0.0
2023-01-02 07:00,-400.95000000000005,-773.336,0.0,-48.227999999999994,-7.02,-124.241,0.0
2023-01-02 08:00,-419.693,-865.7729999999999,0.0,-57.828,-3.902,-119.53399999999999,0.0
2023-01-02 09:00,-477.79999999999995,-994.5709999999999,0.0,-53.93600000000001,0.0,-162.43,0.0
2023-01-02 10:00,-486.079,-1067.328,0.0,-81.29599999999999,0.0,-148.39,0.0
2023-01-02 11:00,-478.211,-1087.024,0.0,-97.572,0.0,-152.11,0.0
2023-01-02 12:00,-479.003,-1088.743,0.0,-118.82300000000001,0.0,-142.7,0.0
2023-01-02 13:00,-448.766,-1055.321,0.0,-146.45600000000002,0.0,-136.77100000000002,0.0
2023-01-02 14:00,-469.625,-1026.046,0.0,-167.059,0.0,-141.15800000000002,-1.7969999999999988
2023-01-02 15:00,-507.459,-1058.097,0.0,-181.474,0.0,-154.024,0.0
2023-01-02 16:00,-570.559,-1158.158,0.0,-207.726,0.0,-167.041,0.0
2023-01-02 17:00,-549.028,-1180.781,0.0,-233.761,0.0,-182.13400000000001,0.0
2023-01-02 18:00,-533.077,-1130.21,0.0,-221.173,0.0,-178.611,0.0
2023-01-02 19:00,-501.594,-1051.924,0.0,-182.38,0.0,-167.91699999999997,0.0
2023-01-02 20:00,-478.912,-968.944,0.0,-151.261,0.0,-152.007,0.0
2023-01-02 21:00,-429.464,-821.846,0.0,-128.684,0.0,-137.20100000000002,0.0
2023-01-02 22:00,-408.674,-720.075,0.0,-109.737,0.0,-112.702,0.0
2023-01-02 23:00,-377.03700000000003,-561.64,0.0,-90.36500000000001,0.0,-103.95000000000002,0.0
2023-01-03 00:00,-339.224,-453.405,0.0,-74.066,0.0,-143.518,0.0
2023-01-03 01:00,-305.42999999999995,-338.741,0.0,-63.965,0.0,-134.371,0.0
2023-01-03 02:00,-289.322,-166.119,0.0,-40.508,0.0,-140.107,0.0
2023-01-03 03:00,-279.354,-120.82899999999998,0.0,-41.762,0.0,-142.018,0.0
2023-01-03 04:00,-242.997,-67.77,0.0,-6.206000000000001,0.0,-117.434,0.0
2023-01-03 05:00,-260.96299999999997,-40.33299999999999,0.0,0.0,0.0,-99.32900000000001,0.0
2023-01-03 06:00,-285.245,-69.36399999999999,0.0,0.0,0.0,-99.535,0.0
2023-01-03 07:00,-278.235,-156.709,0.0,0.0,0.0,-73.32300000000001,0.0
2023-01-03 08:00,-334.942,-284.72200000000004,0.0,0.0,0.0,-84.71200000000002,0.0
2023-01-03 09:00,-408.476,-475.015,0.0,0.0,0.0,-128.06,0.0
2023-01-03 10:00,-475.293,-615.454,0.0,0.0,0.0,-160.672,0.0
2023-01-03 11:00,-517.391,-687.436,0.0,0.0,0.0,-177.649,0.0
2023-01-03 12:00,-513.8679999999999,-729.596,0.0,-51.384,0.0,-182.053,0.0
2023-01-03 13:00,-543.8789999999999,-769.822,0.0,-100.11099999999999,0.0,-184.3,0.0
2023-01-03 14:00,-562.4739999999999,-830.633,0.0,-132.337,0.0,-165.15800000000002,0.0
2023-01-03 15:00,-585.63,-897.604,0.0,-117.832,0.0,-169.231,0.0
2023-01-03 16:00,-623.024,-900.616,0.0,-111.387,0.0,-181.159,0.0
2023-01-03 17:00,-624.535,-905.525,0.0,-123.06900000000002,0.0,-174.903,0.0
2023-01-03 18:00,-597.9100000000001,-818.5329999999999,0.0,-117.247,0.0,-156.05200000000002,-6.959
2023-01-03 19:00,-561.159,-780.785,0.0,-96.529,0.0,-140.575,-27.223
2023-01-03 20:00,-540.992,-623.807,-3.7469999999999977,-111.22,0.0,-144.115,-34.844
2023-01-03 21:00,-432.53000000000003,-414.481,0.0,-128.54399999999998,0.0,-125.798,-18.379
2023-01-03 22:00,-347.099,-357.84000000000003,0.0,-158.58800000000002,0.0,-108.92500000000001,-19.018
2023-01-03 23:00,-304.53200000000004,-75.67799999999998,0.0,-150.00799999999998,0.0,-78.758,-19.436
2023-01-04 00:00,-139.03500000000003,0.0,0.0,-139.322,0.0,-96.30000000000001,-24.667
2023-01-04 01:00,-95.58500000000001,0.0,0.0,-129.68900000000002,0.0,-69.568,-21.486
2023-01-04 02:00,-98.276,0.0,0.0,-98.753,0.0,-36.355000000000004,-11.951
2023-01-04 03:00,-92.936,0.0,0.0,-32.945,0.0,-34.629999999999995,-0.5660000000000007
2023-01-04 04:00,-96.46000000000001,0.0,0.0,0.0,0.0,-8.312000000000003,0.0
2023-01-04 05:00,-123.847,0.0,0.0,0.0,0.0,-41.644000000000005,0.0
2023-01-04 06:00,-185.652,0.0,0.0,0.0,0.0,-86.584,0.0
2023-01-04 07:00,-270.14700000000005,-131.159,0.0,0.0,0.0,-89.32900000000001,0.0
2023-01-04 08:00,-326.738,-282.272,0.0,-32.800000000000004,0.0,-120.82499999999999,0.0
2023-01-04 09:00,-351.494,-380.823,0.0,-73.12100000000001,0.0,-142.49900000000002,0.0
2023-01-04 10:00,-369.13199999999995,-423.554,0.0,-90.826,0.0,-144.37599999999998,0.0
2023-01-04 11:00,-444.734,-442.98199999999997,0.0,-90.072,0.0,-134.00799999999998,0.0
2023-01-04 12:00,-509.898,-547.281,0.0,-71.464,0.0,-128.94099999999997,0.0
2023-01-04 13:00,-512.287,-762.829,0.0,-46.66700000000001,0.0,-121.055,0.0
2023-01-04 14:00,-522.544,-847.674,0.0,-34.784,0.0,-125.679,0.0
2023-01-04 15:00,-547.042,-922.2429999999999,0.0,-45.553999999999995,0.0,-146.077,0.0
2023-01-04 16:00,-603.485,-1070.048,0.0,-121.03099999999999,0.0,-168.434,0.0
2023-01-04 17:00,-626.885,-1203.8000000000002,0.0,-117.92399999999999,0.0,-175.522,0.0
2023-01-04 18:00,-606.444,-1170.071,0.0,-80.69,0.0,-160.572,0.0
2023-01-04 19:00,-562.7270000000001,-1072.862,0.0,-48.449999999999996,0.0,-139.876,0.0
2023-01-04 20:00,-533.601,-992.8820000000001,0.0,-35.426,0.0,-131.322,0.0
2023-01-04 21:00,-488.014,-893.425,0.0,-20.475,0.0,-116.48,0.0
2023-01-04 22:00,-436.804,-813.171,0.0,-4.280999999999996,0.0,-106.634,0.0
2023-01-04 23:00,-376.472,-738.946,0.0,-42.306000000000004,0.0,-83.725,0.0
2023-01-05 00:00,-339.078,-672.885,0.0,-22.706999999999997,0.0,-116.745,0.0
2023-01-05 01:00,-335.24300000000005,-651.433,0.0,-48.637,0.0,-108.875,0.0
2023-01-05 02:00,-329.675,-600.794,0.0,-62.783,0.0,-105.23599999999999,0.0
2023-01-05 03:00,-318.43399999999997,-571.306,0.0,-74.423,0.0,-134.024,0.0
2023-01-05 04:00,-328.709,-571.357,0.0,-94.872,0.0,-145.183,0.0
2023-01-05 05:00,-359.794,-626.9490000000001,0.0,-115.107,0.0,-127.679,0.0
2023-01-05 06:00,-432.269,-775.191,0.0,-167.929,0.0,-152.13099999999997,0.0
2023-01-05 07:00,-502.646,-927.025,0.0,-229.297,0.0,-113.683,0.0
2023-01-05 08:00,-557.38,-1021.0830000000001,0.0,-265.985,0.0,-157.51299999999998,0.0
2023-01-05 09:00,-584.059,-1061.088,-5.2959999999999985,-273.432,0.0,-174.696,0.0
2023-01-05 10:00,-587.992,-1056.238,0.0,-276.736,0.0,-168.279,0.0
2023-01-05 11:00,-601.947,-1034.88,0.0,-268.512,0.0,-197.899,0.0
2023-01-05 12:00,-630.842,-1027.24,0.0,-269.653,0.0,-203.886,0.0
2023-01-05 13:00,-582.995,-872.4580000000001,0.0,-219.111,0.0,-177.589,0.0
2023-01-05 14:00,-527.458,-715.113,0.0,-145.24,0.0,-156.187,0.0
2023-01-05 15:00,-515.841,-648.995,0.0,-109.09700000000001,0.0,-141.98399999999998,0.0
2023-01-05 16:00,-499.51099999999997,-711.375,0.0,-47.528999999999996,0.0,-135.057,0.0
2023-01-05 17:00,-490.708,-799.531,0.0,-10.706,0.0,-102.452,0.0
2023-01-05 18:00,-449.301,-734.026,0.0,0.0,0.0,-68.52399999999999,0.0
2023-01-05 19:00,-390.967,-646.518,0.0,0.0,0.0,-52.312,0.0
2023-01-05 20:00,-328.762,-487.722,0.0,0.0,0.0,-30.141999999999996,0.0
2023-01-05 21:00,-274.22799999999995,-351.844,0.0,0.0,0.0,-0.7199999999999976,0.0
2023-01-05 22:00,-215.63,-261.541,0.0,0.0,0.0,0.0,0.0
2023-01-05 23:00,-170.567,-136.704,0.0,0.0,0.0,0.0,0.0
2023-01-06 00:00,-130.688,-3.6889999999999947,0.0,0.0,0.0,0.0,0.0
2023-01-06 01:00,-119.33500000000001,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06 02:00,-103.949,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06 03:00,-132.664,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06 04:00,-128.30700000000002,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06 05:00,-161.031,0.0,0.0,0.0,0.0,-44.718,0.0
2023-01-06 06:00,-208.115,-53.12499999999999,0.0,0.0,0.0,-22.905000000000005,0.0
2023-01-06 07:00,-261.478,-268.03499999999997,0.0,0.0,0.0,-1.428999999999999,0.0
2023-01-06 08:00,-315.223,-402.44399999999996,0.0,0.0,0.0,0.0,0.0
2023-01-06 09:00,-350.06,-435.471,0.0,-5.902999999999999,0.0,-20.583000000000006,0.0
2023-01-06 10:00,-384.95799999999997,-473.928,0.0,0.0,0.0,-15.498000000000001,0.0
2023-01-06 11:00,-376.353,-513.129,0.0,0.0,0.0,-15.268999999999998,0.0
2023-01-06 12:00,-397.366,-620.595,0.0,-6.031999999999999,0.0,-22.547,0.0
2023-01-06 13:00,-434.525,-788.4169999999999,0.0,-23.971000000000004,0.0,-43.11299999999999,0.0
2023-01-06 14:00,-469.245,-903.7,0.0,-74.05,0.0,-75.332,0.0
2023-01-06 15:00,-522.456,-991.903,0.0,-126.362,0.0,-106.12,0.0
2023-01-06 16:00,-627.018,-1058.2939999999999,0.0,-148.811,0.0,-123.00999999999999,0.0
2023-01-06 17:00,-638.171,-1058.388,0.0,-145.343,0.0,-142.002,0.0
2023-01-06 18:00,-611.348,-995.747,0.0,-133.996,0.0,-137.458,0.0
2023-01-06 19:00,-560.6800000000001,-871.6669999999999,0.0,-133.945,0.0,-141.611,0.0
2023-01-06 20:00,-522.28,-656.0830000000001,0.0,-154.356,0.0,-126.44299999999998,0.0
2023-01-06 21:00,-447.905,-475.128,0.0,-120.983,0.0,-100.30000000000001,0.0
2023-01-06 22:00,-354.725,-358.44,0.0,-56.42100000000001,0.0,-58.156000000000006,0.0
2023-01-06 23:00,-313.132,-192.96800000000002,0.0,0.0,0.0,-49.007000000000005,0.0
2023-01-07 00:00,-276.858,-74.603,0.0,0.0,0.0,-64.065,0.0
2023-01-07 01:00,-247.987,-67.85000000000001,0.0,0.0,0.0,-43.277,0.0
2023-01-07 02:00,-189.664,-98.88200000000002,0.0,0.0,0.0,-40.55199999999999,0.0
2023-01-07 03:00,-193.873,-183.084,0.0,0.0,0.0,-51.769000000000005,0.0
2023-01-07 04:00,-259.449,-255.402,0.0,0.0,0.0,-48.115,0.0
2023-01-07 05:00,-333.552,-371.24800000000005,0.0,0.0,0.0,-70.34899999999999,0.0
2023-01-07 06:00,-379.226,-486.12800000000004,0.0,0.0,0.0,-92.568,0.0
2023-01-07 07:00,-417.38300000000004,-652.054,0.0,-41.57899999999999,0.0,-89.994,0.0
2023-01-07 08:00,-466.034,-803.005,0.0,-107.36,0.0,-107.815,0.0
2023-01-07 09:00,-507.976,-864.346,0.0,-132.364,0.0,-118.34700000000001,0.0
2023-01-07 10:00,-542.907,-824.9870000000001,0.0,-159.929,0.0,-123.35,0.0
2023-01-07 11:00,-508.00199999999995,-717.2280000000001,0.0,-176.373,0.0,-126.90799999999999,0.0
2023-01-07 12:00,-436.122,-542.3340000000001,0.0,-175.764,0.0,-96.259,0.0
2023-01-07 13:00,-365.164,-442.14099999999996,0.0,-111.80600000000001,0.0,-59.599999999999994,0.0
2023-01-07 14:00,-398.446,-425.945,0.0,-42.204,0.0,-57.69699999999999,0.0
2023-01-07 15:00,-381.73,-423.26300000000003,0.0,0.0,0.0,-77.33699999999999,0.0
2023-01-07 16:00,-422.15200000000004,-501.906,0.0,0.0,0.0,-49.197,0.0
2023-01-07 17:00,-442.38599999999997,-585.39,0.0,-3.9160000000000004,0.0,-62.452999999999996,0.0
2023-01-07 18:00,-387.645,-471.443,0.0,0.0,0.0,-37.294,0.0
2023-01-07 19:00,-339.53599999999994,-378.62,0.0,0.0,0.0,-40.120999999999995,0.0
2023-01-07 20:00,-303.703,-300.39599999999996,0.0,0.0,0.0,-10.114999999999997,0.0
2023-01-07 21:00,-242.79399999999998,-204.86900000000003,0.0,0.0,0.0,0.0,0.0
2023-01-07 22:00,-225.51600000000002,-180.647,0.0,0.0,0.0,0.0,0.0
2023-01-07 23:00,-185.777,-170.11,0.0,0.0,0.0,0.0,0.0
2023-01-08 00:00,-128.107,-74.56000000000003,0.0,0.0,0.0,-7.506,0.0
2023-01-08 01:00,-98.098,-83.00999999999999,0.0,0.0,0.0,0.0,0.0
2023-01-08 02:00,-75.724,-31.144999999999996,0.0,0.0,0.0,0.0,0.0
2023-01-08 03:00,-81.881,-43.564000000000014,0.0,0.0,0.0,0.0,0.0
2023-01-08 04:00,-87.556,-9.150000000000004,0.0,0.0,0.0,0.0,0.0
2023-01-08 05:00,-105.415,-24.609,0.0,0.0,0.0,0.0,0.0
2023-01-08 06:00,-134.576,-8.072,0.0,0.0,0.0,0.0,0.0
2023-01-08 07:00,-152.093,-96.43600000000002,0.0,0.0,0.0,0.0,0.0
2023-01-08 08:00,-189.328,-241.35199999999998,0.0,0.0,0.0,0.0,0.0
2023-01-08 09:00,-264.081,-372.755,0.0,0.0,0.0,0.0,0.0
2023-01-08 10:00,-305.56600000000003,-472.23400000000004,0.0,0.0,0.0,0.0,0.0
2023-01-08 11:00,-337.269,-463.88,0.0,0.0,0.0,0.0,0.0
2023-01-08 12:00,-334.87,-570.018,0.0,0.0,0.0,-13.224999999999994,0.0
2023-01-08 13:00,-354.898,-610.881,0.0,0.0,0.0,-14.566000000000008,0.0
2023-01-08 14:00,-403.902,-679.1869999999999,0.0,0.0,0.0,-17.817000000000007,0.0
2023-01-08 15:00,-471.803,-754.78,0.0,0.0,0.0,-60.544,0.0
2023-01-08 16:00,-532.691,-896.531,0.0,-19.676999999999992,0.0,-104.18299999999999,0.0
2023-01-08 17:00,-542.344,-1028.4569999999999,0.0,-63.342999999999996,0.0,-123.109,0.0
2023-01-08 18:00,-545.964,-977.989,0.0,-115.723,0.0,-115.435,0.0
2023-01-08 19:00,-540.5709999999999,-913.5699999999999,0.0,-86.852,0.0,-104.82300000000001,0.0
2023-01-08 20:00,-546.5830000000001,-796.35,0.0,-74.55000000000001,0.0,-101.75800000000001,0.0
2023-01-08 21:00,-490.428,-704.328,0.0,-68.56,0.0,-96.46100000000001,0.0
2023-01-08 22:00,-412.72799999999995,-624.327,0.0,-101.977,0.0,-82.167,0.0
2023-01-08 23:00,-363.869,-542.299,0.0,-93.322,0.0,-76.87100000000001,0.0
2023-01-09 00:00,-333.825,-508.663,0.0,-97.46000000000001,0.0,-63.193,0.0
2023-01-09 01:00,-302.26599999999996,-516.1669999999999,0.0,-107.346,0.0,-59.998999999999995,0.0
2023-01-09 02:00,-287.741,-457.998,0.0,-113.145,0.0,-69.107,0.0
2023-01-09 03:00,-274.339,-382.471,0.0,-119.52000000000001,0.0,-63.221000000000004,0.0
2023-01-09 04:00,-253.805,-365.99,0.0,-109.862,0.0,-50.578,0.0
2023-01-09 05:00,-254.151,-421.948,0.0,-115.97,0.0,-47.727999999999994,0.0
2023-01-09 06:00,-320.845,-500.26199999999994,0.0,-139.922,0.0,-86.186,0.0
2023-01-09 07:00,-416.486,-705.153,0.0,-190.889,0.0,-133.675,0.0
2023-01-09 08:00,-456.66700000000003,-804.345,0.0,-201.14,0.0,-95.09899999999999,0.0
2023-01-09 09:00,-443.814,-826.7560000000001,0.0,-208.848,0.0,-89.238,0.0
2023-01-09 10:00,-433.23199999999997,-790.8800000000001,0.0,-191.444,0.0,-75.426,0.0
2023-01-09 11:00,-431.411,-762.079,0.0,-203.79,0.0,-123.89699999999999,0.0
2023-01-09 12:00,-441.589,-733.505,0.0,-198.594,0.0,-99.19199999999998,0.0
2023-01-09 13:00,-476.18600000000004,-711.7049999999999,0.0,-190.278,0.0,-118.38300000000001,0.0
2023-01-09 14:00,-506.225,-758.942,0.0,-199.08100000000002,0.0,-136.336,0.0
2023-01-09 15:00,-519.752,-900.77,0.0,-188.635,0.0,-144.633,0.0
2023-01-09 16:00,-546.125,-974.71,0.0,-207.862,0.0,-156.426,0.0
2023-01-09 17:00,-517.413,-992.855,0.0,-201.284,0.0,-160.995,0.0
2023-01-09 18:00,-514.376,-896.874,0.0,-181.779,0.0,-144.067,0.0
2023-01-09 19:00,-506.856,-877.366,0.0,-131.814,0.0,-110.351,0.0
2023-01-09 20:00,-402.399,-772.9739999999999,0.0,-133.765,0.0,-80.854,0.0
2023-01-09 21:00,-374.759,-718.972,0.0,-84.49699999999999,0.0,-81.602,0.0
2023-01-09 22:00,-330.03099999999995,-569.043,0.0,-32.49699999999999,0.0,-64.444,0.0
2023-01-09 23:00,-268.677,-502.433,0.0,-40.05,0.0,-41.19199999999999,0.0
2023-01-10 00:00,-260.905,-469.671,0.0,-20.086999999999996,0.0,-46.279,0.0
2023-01-10 01:00,-293.34799999999996,-522.249,0.0,-45.239000000000004,0.0,-51.936,0.0
2023-01-10 02:00,-262.885,-453.88599999999997,0.0,-27.246,0.0,-54.305,0.0
2023-01-10 03:00,-255.75,-385.77700000000004,0.0,-15.061999999999998,0.0,-24.96999999999999,0.0
2023-01-10 04:00,-256.571,-383.44399999999996,0.0,-45.638,0.0,-23.696000000000005,0.0
2023-01-10 05:00,-288.37300000000005,-435.553,0.0,-56.98800000000001,0.0,-40.135,0.0
2023-01-10 06:00,-378.217,-534.988,0.0,-77.783,0.0,-73.173,0.0
2023-01-10 07:00,-433.818,-641.33,0.0,-90.875,0.0,-84.68299999999999,0.0
2023-01-10 08:00,-446.606,-601.382,0.0,-127.762,0.0,-123.378,0.0
2023-01-10 09:00,-477.097,-641.837,0.0,-98.191,0.0,-125.975,0.0
2023-01-10 10:00,-500.769,-693.992,0.0,-39.72899999999999,0.0,-112.466,0.0
2023-01-10 11:00,-536.319,-795.999,0.0,-0.9829999999999934,0.0,-118.249,0.0
2023-01-10 12:00,-583.729,-839.1859999999999,0.0,0.0,0.0,-143.387,0.0
2023-01-10 13:00,-595.8810000000001,-793.3889999999999,0.0,0.0,0.0,-133.902,0.0
2023-01-10 14:00,-581.106,-715.038,0.0,-5.858000000000004,0.0,-151.41,0.0
2023-01-10 15:00,-579.933,-577.347,0.0,-47.623,0.0,-160.435,0.0
2023-01-10 16:00,-518.356,-610.419,0.0,-100.63499999999999,0.0,-173.279,0.0
2023-01-10 17:00,-430.201,-641.923,0.0,-154.25900000000001,0.0,-163.669,0.0
2023-01-10 18:00,-383.584,-581.114,0.0,-154.347,0.0,-113.729,0.0
2023-01-10 19:00,-343.243,-512.991,0.0,-129.753,0.0,-37.507000000000005,0.0
2023-01-10 20:00,-311.387,-389.624,0.0,-42.37499999999999,0.0,-8.139,0.0
2023-01-10 21:00,-239.137,-257.41499999999996,0.0,0.0,0.0,0.0,0.0
2023-01-10 22:00,-186.365,-131.35899999999998,0.0,0.0,0.0,0.0,0.0
2023-01-10 23:00,-135.867,-28.443000000000012,0.0,0.0,0.0,0.0,0.0
2023-01-11 00:00,-121.263,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11 01:00,-124.03999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11 02:00,-99.66,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11 03:00,-83.035,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11 04:00,-74.51,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11 05:00,-95.387,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11 06:00,-174.36,-123.24600000000001,0.0,0.0,0.0,-12.263000000000002,0.0
2023-01-11 07:00,-263.677,-344.97799999999995,0.0,0.0,0.0,-25.752000000000002,0.0
2023-01-11 08:00,-326.825,-467.87199999999996,0.0,0.0,0.0,-12.693999999999996,0.0
2023-01-11 09:00,-358.29200000000003,-510.05499999999995,0.0,-8.916999999999998,0.0,-35.004,0.0
2023-01-11 10:00,-364.204,-547.5730000000001,0.0,-1.8779999999999968,0.0,-40.575,0.0
2023-01-11 11:00,-369.693,-583.216,0.0,-19.864000000000004,0.0,-50.386,0.0
2023-01-11 12:00,-365.908,-583.803,0.0,-37.327,0.0,-60.888,0.0
2023-01-11 13:00,-388.163,-611.7629999999999,0.0,-46.501000000000005,0.0,-68.45599999999999,0.0
2023-01-11 14:00,-404.82,-639.6890000000001,0.0,-61.068000000000005,0.0,-58.327999999999996,0.0
2023-01-11 15:00,-409.137,-705.256,0.0,-128.952,0.0,-76.88,0.0
2023-01-11 16:00,-449.507,-833.069,0.0,-146.566,0.0,-88.785,0.0
2023-01-11 17:00,-448.67600000000004,-806.083,0.0,-119.539,0.0,-90.495,0.0
2023-01-11 18:00,-436.777,-691.9459999999999,0.0,-67.315,0.0,-87.833,0.0
2023-01-11 19:00,-388.463,-606.698,0.0,-67.934,0.0,-61.575,0.0
2023-01-11 20:00,-335.778,-541.88,0.0,-88.806,0.0,-49.587999999999994,0.0
2023-01-11 21:00,-275.822,-482.534,0.0,-82.53899999999999,0.0,-57.912,0.0
2023-01-11 22:00,-247.562,-416.05499999999995,0.0,-53.925999999999995,0.0,-39.528,0.0
2023-01-11 23:00,-208.724,-462.998,0.0,-50.587,0.0,-21.566000000000003,0.0
2023-01-12 00:00,-200.75799999999998,-582.252,0.0,-34.031,0.0,-19.936,0.0
2023-01-12 01:00,-202.709,-612.377,0.0,-49.50800000000001,0.0,-54.322,0.0
2023-01-12 02:00,-211.25,-593.164,0.0,-80.433,0.0,-60.757999999999996,0.0
2023-01-12 03:00,-261.552,-583.6320000000001,0.0,-105.245,0.0,-88.13900000000001,0.0
2023-01-12 04:00,-275.95899999999995,-570.961,0.0,-112.828,0.0,-80.645,0.0
2023-01-12 05:00,-305.594,-639.175,0.0,-132.288,0.0,-104.347,0.0
2023-01-12 06:00,-402.253,-813.162,0.0,-190.19299999999998,0.0,-103.772,-1.1399999999999988
2023-01-12 07:00,-502.826,-991.4649999999999,0.0,-243.662,0.0,-102.66300000000001,-24.613999999999997
2023-01-12 08:00,-527.012,-977.2950000000001,0.0,-268.837,0.0,-138.209,-14.289
2023-01-12 09:00,-543.6210000000001,-873.117,0.0,-274.068,0.0,-145.04000000000002,0.0
2023-01-12 10:00,-523.75,-821.6389999999999,0.0,-244.709,0.0,-161.07,0.0
2023-01-12 11:00,-423.688,-744.623,0.0,-210.092,0.0,-168.152,0.0
2023-01-12 12:00,-402.824,-715.154,0.0,-185.251,0.0,-120.94500000000001,0.0
2023-01-12 13:00,-394.14300000000003,-679.5609999999999,0.0,-168.86700000000002,0.0,-74.66,0.0
2023-01-12 14:00,-377.792,-599.549,0.0,-135.441,0.0,-66.955,0.0
2023-01-12 15:00,-386.703,-564.765,0.0,-141.055,0.0,-37.894999999999996,0.0
2023-01-12 16:00,-427.8,-662.6659999999999,0.0,-115.73,0.0,-42.769000000000005,0.0
2023-01-12 17:00,-448.663,-693.31,0.0,-107.76400000000001,0.0,-56.711,0.0
2023-01-12 18:00,-413.307,-640.644,0.0,-65.07,0.0,-56.568999999999996,-0.4969999999999999
2023-01-12 19:00,-372.549,-591.9,0.0,-92.15,0.0,-60.557,0.0
2023-01-12 20:00,-345.214,-479.70099999999996,0.0,-121.38199999999999,0.0,-45.257999999999996,0.0
2023-01-12 21:00,-310.389,-385.266,0.0,-143.54500000000002,0.0,-52.995999999999995,0.0
2023-01-12 22:00,-284.148,-322.211,0.0,-157.09,0.0,-40.01299999999999,0.0
2023-01-12 23:00,-229.359,-228.36700000000002,0.0,-117.80799999999999,0.0,-20.68,0.0
2023-01-13 00:00,-188.592,-128.527,0.0,-4.365999999999995,0.0,-8.532000000000002,0.0
2023-01-13 01:00,-169.817,-121.15400000000002,0.0,0.0,0.0,-16.379000000000005,0.0
2023-01-13 02:00,-159.81099999999998,-80.474,0.0,0.0,0.0,-5.4250000000000025,0.0
2023-01-13 03:00,-130.577,-17.430999999999983,0.0,0.0,0.0,-5.767,0.0
